Schedule Summary File;Average Fitness;Average Best Iteration;Average Runtime (ms)
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;100.000000;8565;16
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;200.000000;34379;120
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;300.000000;77144;395
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;400.000000;138113;931
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;500.000000;214837;1772
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;600.000000;305507;3016
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;700.000000;418797;4792
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;800.000000;547668;7150
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;900.000000;698619;10256
schedule_summary_BitStringLeadingOnes_BitStringLeadingOnesGeneric.csv;1000.000000;857740;13974
