Batch Index;Problem;Algorithm;Fitness;Best Iteration;Runtime (ms)
0;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;753022;12259
1;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;911691;14898
2;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;868898;14158
3;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;890460;14509
4;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;863624;14057
5;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;880395;14344
6;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;907549;14785
7;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;903082;14715
8;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;885953;14446
9;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;845383;13762
10;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;832792;13552
11;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;819666;13349
12;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;949292;15480
13;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;874163;14224
14;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;848414;13825
15;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;816591;13292
16;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;870984;14171
17;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;868190;14150
18;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;922266;15019
19;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;886569;14443
20;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;829186;13513
21;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;890499;14498
22;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;799913;13027
23;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;882372;14385
24;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;813305;13256
25;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;835847;13622
26;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;850946;13862
27;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;812402;13233
28;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;761616;12391
29;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;926913;15118
30;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;873298;14225
31;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;962197;15682
32;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;836086;13617
33;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;827348;13492
34;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;821939;13383
35;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;859778;14038
36;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;887875;14465
37;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;780652;12723
38;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;962250;15816
39;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;871357;14183
40;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;885583;14449
41;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;753794;12301
42;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;867642;14139
43;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;761677;12432
44;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;827358;13462
45;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;960743;15663
46;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;846086;13786
47;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;886461;14432
48;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;869510;14155
49;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;899433;14662
50;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;824527;13433
51;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;827301;13461
52;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;831004;13553
53;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;857318;13961
54;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;873133;14233
55;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;955377;15540
56;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;964808;15717
57;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;793454;12918
58;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;840463;13696
59;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;826849;13461
60;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;850195;13833
61;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;840890;13717
62;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;842906;13718
63;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;860081;13992
64;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;810152;13202
65;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;853044;13906
66;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;828544;13481
67;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;822899;13403
68;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;776757;12650
69;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;815864;13302
70;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;769913;12527
71;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;774564;12606
72;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;879375;14311
73;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;815136;13270
74;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;927202;15092
75;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;847584;13791
76;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;817332;13313
77;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;836935;13644
78;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;851512;13856
79;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;852646;13878
80;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;830410;13528
81;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;766997;12495
82;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;911353;14844
83;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;832898;13583
84;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;867298;14137
85;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;798361;13016
86;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;858193;13969
87;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;885215;14452
88;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;854237;13918
89;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;855693;13939
90;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;927456;15093
91;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;913493;14883
92;BitStringLeadingOnes;BitStringLeadingOnesGeneric;1000.000000;797926;12991
