Batch Index,Problem,Algorithm,Fitness,Best Iteration,Runtime (ms)
0,BitString,BitStringGeneric,0.000000,0,224
1,BitString,BitStringGeneric,0.000000,0,223
2,BitString,BitStringGeneric,0.000000,0,219
3,BitString,BitStringGeneric,1.000000,93,218
4,BitString,BitStringGeneric,0.000000,0,210
5,BitString,BitStringGeneric,0.000000,0,197
6,BitString,BitStringGeneric,1.000000,53,195
7,BitString,BitStringGeneric,0.000000,0,208
8,BitString,BitStringGeneric,0.000000,0,200
9,BitString,BitStringGeneric,0.000000,0,200
10,BitString,BitStringGeneric,0.000000,0,209
11,BitString,BitStringGeneric,0.000000,0,222
12,BitString,BitStringGeneric,1.000000,91,208
13,BitString,BitStringGeneric,0.000000,0,207
14,BitString,BitStringGeneric,0.000000,0,203
15,BitString,BitStringGeneric,0.000000,0,204
16,BitString,BitStringGeneric,0.000000,0,195
17,BitString,BitStringGeneric,0.000000,0,207
18,BitString,BitStringGeneric,0.000000,0,205
19,BitString,BitStringGeneric,0.000000,0,196
20,BitString,BitStringGeneric,0.000000,0,198
21,BitString,BitStringGeneric,0.000000,0,203
22,BitString,BitStringGeneric,0.000000,0,208
23,BitString,BitStringGeneric,0.000000,0,197
24,BitString,BitStringGeneric,0.000000,0,204
25,BitString,BitStringGeneric,0.000000,0,208
26,BitString,BitStringGeneric,0.000000,0,200
27,BitString,BitStringGeneric,1.000000,46,199
28,BitString,BitStringGeneric,0.000000,0,212
29,BitString,BitStringGeneric,0.000000,0,205
30,BitString,BitStringGeneric,0.000000,0,211
