Iteration;Time;Fitness;Best Iteration;Best Fitness
0;3.000000;48.000000;0;48.000000
1;3.000000;49.000000;1;49.000000
2;3.000000;50.000000;2;50.000000
3;3.000000;51.000000;3;51.000000
4;3.000000;51.000000;3;51.000000
5;3.000000;51.000000;3;51.000000
6;3.000000;51.000000;3;51.000000
7;3.000000;51.000000;3;51.000000
8;3.000000;52.000000;8;52.000000
9;3.000000;53.000000;9;53.000000
10;3.000000;54.000000;10;54.000000
11;3.000000;54.000000;10;54.000000
12;3.000000;55.000000;12;55.000000
13;3.000000;55.000000;12;55.000000
14;3.000000;56.000000;14;56.000000
15;3.000000;57.000000;15;57.000000
16;3.000000;58.000000;16;58.000000
17;3.000000;59.000000;17;59.000000
18;3.000000;59.000000;17;59.000000
19;3.000000;60.000000;19;60.000000
20;3.000000;60.000000;19;60.000000
21;3.000000;61.000000;21;61.000000
22;3.000000;61.000000;21;61.000000
23;3.000000;61.000000;21;61.000000
24;3.000000;62.000000;24;62.000000
25;3.000000;62.000000;24;62.000000
26;3.000000;62.000000;24;62.000000
27;3.000000;63.000000;27;63.000000
28;3.000000;63.000000;27;63.000000
29;3.000000;63.000000;27;63.000000
30;3.000000;64.000000;30;64.000000
31;3.000000;65.000000;31;65.000000
32;3.000000;65.000000;31;65.000000
33;3.000000;65.000000;31;65.000000
34;3.000000;66.000000;34;66.000000
35;3.000000;66.000000;34;66.000000
36;3.000000;66.000000;34;66.000000
37;3.000000;67.000000;37;67.000000
38;3.000000;68.000000;38;68.000000
39;3.000000;69.000000;39;69.000000
40;3.000000;69.000000;39;69.000000
41;3.000000;69.000000;39;69.000000
42;3.000000;70.000000;42;70.000000
43;3.000000;71.000000;43;71.000000
44;3.000000;71.000000;43;71.000000
45;3.000000;71.000000;43;71.000000
46;3.000000;72.000000;46;72.000000
47;3.000000;73.000000;47;73.000000
48;3.000000;74.000000;48;74.000000
49;3.000000;74.000000;48;74.000000
50;3.000000;74.000000;48;74.000000
51;3.000000;75.000000;51;75.000000
52;3.000000;75.000000;51;75.000000
53;3.000000;75.000000;51;75.000000
54;3.000000;76.000000;54;76.000000
55;3.000000;76.000000;54;76.000000
56;3.000000;76.000000;54;76.000000
57;3.000000;76.000000;54;76.000000
58;3.000000;76.000000;54;76.000000
59;3.000000;77.000000;59;77.000000
60;3.000000;77.000000;59;77.000000
61;3.000000;77.000000;59;77.000000
62;3.000000;77.000000;59;77.000000
63;3.000000;77.000000;59;77.000000
64;3.000000;77.000000;59;77.000000
