iteration,elapsedMs,currentFitness,bestIteration,bestElapsedMs,bestFitness
0,0,449.0,0,0,449.0
1,0,450.0,1,0,450.0
2,0,450.0,1,0,450.0
3,0,451.0,3,0,451.0
4,0,452.0,4,0,452.0
5,0,452.0,4,0,452.0
6,0,453.0,6,0,453.0
7,0,453.0,6,0,453.0
8,0,453.0,6,0,453.0
9,0,454.0,9,0,454.0
10,0,455.0,10,0,455.0
11,0,456.0,11,0,456.0
12,0,457.0,12,0,457.0
13,0,457.0,12,0,457.0
14,0,457.0,12,0,457.0
15,0,458.0,15,0,458.0
16,0,459.0,16,0,459.0
17,0,460.0,17,0,460.0
18,0,460.0,17,0,460.0
19,0,461.0,19,0,461.0
20,0,462.0,20,0,462.0
21,0,463.0,21,0,463.0
22,0,464.0,22,0,464.0
23,0,465.0,23,0,465.0
24,0,466.0,24,0,466.0
25,0,466.0,24,0,466.0
26,0,467.0,26,0,467.0
27,0,467.0,26,0,467.0
28,0,468.0,28,0,468.0
29,0,468.0,28,0,468.0
30,0,469.0,30,0,469.0
31,0,469.0,30,0,469.0
32,0,469.0,30,0,469.0
33,0,470.0,33,0,470.0
34,0,471.0,34,0,471.0
35,0,471.0,34,0,471.0
36,0,471.0,34,0,471.0
37,0,472.0,37,0,472.0
38,0,472.0,37,0,472.0
39,0,473.0,39,0,473.0
40,0,473.0,39,0,473.0
41,0,474.0,41,0,474.0
42,0,475.0,42,0,475.0
43,0,475.0,42,0,475.0
44,0,476.0,44,0,476.0
45,0,476.0,44,0,476.0
46,0,476.0,44,0,476.0
47,0,476.0,44,0,476.0
48,0,476.0,44,0,476.0
49,0,477.0,49,0,477.0
50,0,478.0,50,0,478.0
51,0,478.0,50,0,478.0
52,0,478.0,50,0,478.0
53,0,478.0,50,0,478.0
54,0,479.0,54,0,479.0
55,0,480.0,55,0,480.0
56,0,480.0,55,0,480.0
57,0,480.0,55,0,480.0
58,0,481.0,58,0,481.0
59,0,482.0,59,0,482.0
60,0,483.0,60,0,483.0
61,0,484.0,61,0,484.0
62,0,485.0,62,0,485.0
63,0,485.0,62,0,485.0
64,0,486.0,64,0,486.0
65,0,487.0,65,0,487.0
66,0,488.0,66,0,488.0
67,0,488.0,66,0,488.0
68,0,488.0,66,0,488.0
69,0,489.0,69,0,489.0
70,0,490.0,70,0,490.0
71,0,490.0,70,0,490.0
72,0,490.0,70,0,490.0
73,0,491.0,73,0,491.0
74,0,491.0,73,0,491.0
75,0,491.0,73,0,491.0
76,0,492.0,76,0,492.0
